,H,Li,Be,B,C,N,Na,Mg,Al,Si,P,K,Ca,Sc,Ti,V,Cr,Mn,Fe,Co,Ni,Cu,Zn,Ga,Ge,As,Rb,Sr,Y,Zr,Nb,Mo,Tc,Ru,Rh,Pd,Ag,Cd,In,Sn,Sb,Cs,Ba,La,Ce,Pr,Nd,Pm,Sm,Eu,Gd,Tb,Dy,Ho,Er,Tm,Yb,Lu,Hf,Ta,W,Re,Os,Ir,Pt,Au,Hg,Tl,Pb,Bi,Th,U,Pu
Ir,-20.6,-9.0,-5.5,-25.7,-31.7,-54.0,28.0,-12.7,-29.5,-26.2,-30.8,42.0,-22.0,-61.4,-57.1,-34.4,-17.8,-18.2,-8.8,-3.5,-1.5,0.2,-13.5,-20.5,-11.5,-19.0,44.0,-15.1,-52.5,-76.1,-52.9,-21.4,-2.0,-0.6,0.6,6.0,15.5,0.0,-0.3,-5.1,1.0,45.0,-13.9,-47.4,-49.2,-50.9,-50.8,-55.0,-52.6,-18.0,-52.5,-54.3,-54.0,-52.6,-55.7,-55.4,-55.3,-59.0,-67.8,-51.8,-15.6,-3.0,-1.0,0.0,0.4,12.6,9.0,14.0,16.3,14.0,-63.8,-50.0,-44.0
Pt,-24.3,-33.0,-9.8,-27.8,-30.2,-52.0,-1.0,-34.7,-44.2,-36.5,-34.6,9.0,-53.6,-88.0,-74.4,-45.6,-24.5,-28.3,-13.0,-7.2,-4.7,-12.1,-28.7,-37.5,-24.9,-31.0,9.0,-48.9,-82.4,-99.5,-66.5,-27.7,-3.0,-1.1,-1.6,2.0,-0.8,-18.0,-21.3,-24.6,-17.0,10.0,-48.7,-78.7,-80.0,-81.3,-81.1,-85.0,-82.5,-51.0,-82.4,-83.8,-83.4,-81.7,-84.6,-84.2,-84.0,-88.0,-89.3,-65.5,-20.2,-4.0,0.0,0.4,0.0,4.4,-9.0,-8.0,-4.8,-8.0,-92.7,-68.0,-63.0
Au,-8.4,-37.0,-0.1,-2.4,-19.6,-58.0,-14.0,-31.5,-21.6,-13.0,-13.3,-9.0,-59.0,-73.7,-47.4,-19.2,-0.2,-11.3,8.0,7.2,7.1,-8.8,-16.3,-19.2,-9.4,-11.0,-10.0,-57.4,-72.9,-73.9,-32.1,3.4,14.0,15.0,7.1,0.1,-5.5,-11.0,-10.6,-10.3,-4.0,-9.0,-58.2,-71.7,-72.2,-72.7,-72.5,-75.0,-73.1,-58.0,-72.9,-73.5,-73.1,-71.7,-73.5,-73.2,-73.0,-75.0,-63.3,-32.3,11.5,20.0,18.0,12.6,4.4,0.0,-4.0,-2.0,2.2,2.0,-77.3,-43.0,-45.0
Hg,-3.0,-19.0,15.0,19.0,-20.0,-81.0,-11.0,-10.0,4.0,-10.0,-4.5,-10.0,-43.0,-37.0,-10.0,10.0,21.0,-4.0,22.0,12.0,8.0,8.0,1.0,1.0,-11.5,0.0,-11.0,-45.0,-43.0,-31.0,11.0,32.0,18.0,18.0,2.0,-18.0,-1.0,0.0,-1.0,0.0,-1.0,-11.0,-49.0,-45.0,-44.0,-43.0,-43.0,-43.0,-43.0,-43.0,-43.0,-42.0,-42.0,-41.0,-41.0,-41.0,-42.0,-41.0,-23.0,9.0,38.0,33.0,23.0,9.0,-9.0,-4.0,0.0,1.0,1.0,1.0,-39.0,-10.0,-18.0
Tl,-3.0,-15.0,23.0,27.0,-19.0,-91.0,-11.0,-3.0,11.0,-4.0,-1.5,-13.0,-40.0,-28.0,2.0,22.0,31.0,11.0,31.0,18.0,13.0,15.0,6.0,6.0,-9.5,3.0,-14.0,-44.0,-35.0,-19.0,26.0,46.0,25.0,24.0,5.0,-21.0,3.0,2.0,0.0,2.0,-1.0,-15.0,-49.0,-38.0,-37.0,-36.0,-36.0,-35.0,-35.0,-41.0,-35.0,-34.0,-34.0,-33.0,-33.0,-32.0,-39.0,-32.0,-11.0,24.0,52.0,44.0,30.0,14.0,-8.0,-2.0,1.0,0.0,-1.0,-1.0,-28.0,1.0,-10.0
Pb,-0.5,-21.0,25.0,29.5,-12.2,-82.0,-18.0,-8.1,10.0,14.5,4.7,-21.0,-51.4,-39.8,-7.7,15.1,27.6,6.8,29.0,17.2,12.9,7.3,4.8,4.7,4.7,6.0,-23.0,-55.6,-47.7,-32.6,17.3,41.6,26.0,25.3,6.1,-18.3,2.6,2.0,-0.7,1.6,1.0,-25.0,-58.3,-51.2,-50.1,-49.0,-48.8,-49.0,-47.8,-53.0,-47.7,-46.7,-46.4,-45.8,-45.4,-45.1,-45.0,-45.0,-23.1,15.1,49.3,44.0,32.0,16.3,-4.8,2.2,1.0,-1.0,0.0,0.0,-41.4,-9.0,-20.0
Bi,0.0,-23.0,26.0,31.0,-12.0,-80.0,-20.0,-10.0,10.0,-2.0,5.5,-24.0,-56.0,-46.0,-14.0,10.0,24.0,3.0,26.0,14.0,10.0,15.0,4.0,4.0,-7.5,7.0,-26.0,-61.0,-54.0,-40.0,12.0,38.0,23.0,23.0,3.0,-21.0,2.0,1.0,-1.0,1.0,1.0,-27.0,-68.0,-58.0,-57.0,-56.0,-55.0,-55.0,-54.0,-58.0,-54.0,-53.0,-53.0,-52.0,-52.0,-51.0,-55.0,-51.0,-30.0,9.0,45.0,40.0,29.0,14.0,-8.0,2.0,1.0,-1.0,0.0,0.0,-48.0,-15.0,-26.0
Th,-57.4,14.0,-35.8,-55.7,-118.9,-237.0,39.0,-2.8,-39.4,-59.1,-119.0,65.0,18.9,0.0,8.4,8.5,2.1,-7.6,-10.5,-29.6,-38.8,-23.9,-30.0,-39.3,-59.4,-82.0,72.0,27.0,1.2,4.2,19.7,12.8,-39.0,-44.3,-62.8,-89.9,-28.4,-32.0,-31.2,-47.5,-65.0,78.0,30.2,2.6,2.0,1.6,1.6,1.0,1.2,23.0,1.2,0.8,0.8,0.9,0.5,0.5,0.5,0.0,5.6,17.6,11.7,-16.0,-39.0,-63.8,-92.7,-77.3,-39.0,-28.0,-41.4,-48.0,0.0,4.0,0.0
U,-53.0,30.0,-27.0,-54.0,-105.0,-189.0,65.0,14.0,-30.0,-66.0,-98.5,93.0,37.0,3.0,0.0,1.0,-3.0,-5.0,-11.0,-23.0,-29.0,-7.0,-15.0,-25.0,-52.5,-60.0,99.0,-48.0,11.0,-3.0,4.0,2.0,-31.0,-36.0,-46.0,-59.0,0.0,-8.0,-7.0,-23.0,-34.0,104.0,52.0,15.0,14.0,12.0,12.0,10.0,11.0,43.0,11.0,10.0,9.0,10.0,8.0,8.0,36.0,7.0,-2.0,3.0,1.0,-17.0,-33.0,-50.0,-68.0,-43.0,-10.0,1.0,-9.0,-15.0,4.0,0.0,1.0
Pu,-54.0,21.0,-25.0,-50.0,-102.0,-188.0,49.0,6.0,-33.0,-66.0,-95.5,72.0,24.0,-1.0,2.0,4.0,2.0,-4.0,-6.0,-19.0,-25.0,-9.0,-20.0,-29.0,-56.5,-62.0,77.0,33.0,4.0,-3.0,9.0,8.0,-26.0,-30.0,-42.0,-58.0,-6.0,-16.0,-16.0,-30.0,-42.0,81.0,36.0,7.0,6.0,5.0,5.0,4.0,4.0,29.0,4.0,3.0,3.0,3.0,2.0,2.0,24.0,1.0,-1.0,8.0,8.0,-10.0,-26.0,-44.0,-63.0,-45.0,-18.0,-10.0,-20.0,-26.0,0.0,1.0,0.0
